"Date","Price","Open","High","Low","Vol.","Change %"
"03/01/2023","468.00","468.00","468.00","468.00","","8.61%"
"02/01/2023","430.88","430.00","430.00","430.00","9.31K","4.33%"
"01/01/2023","413.00","411.50","411.50","411.50","6.56K","6.88%"
"12/01/2022","386.41","381.00","381.00","381.00","3.88K","10.86%"
"11/01/2022","348.56","355.50","355.50","355.50","2.81K","-4.73%"
"10/01/2022","365.85","364.50","364.50","364.50","3.90K","0.47%"
"09/01/2022","364.15","380.00","380.00","380.00","4.81K","-6.44%"
"08/01/2022","389.20","364.00","364.00","364.00","3.66K","0.61%"
"07/01/2022","386.85","393.00","393.00","393.00","9.20K","3.45%"
"06/01/2022","373.94","440.00","440.00","440.00","6.00K","-22.69%"
"05/01/2022","483.67","516.00","516.00","516.00","5.08K","-21.94%"
"04/01/2022","619.64","638.00","638.00","638.00","1.83K","-3.31%"
"03/01/2022","640.88","585.00","585.00","585.00","1.86K","27.19%"
"02/01/2022","503.88","498.00","498.00","498.00","3.69K","7.30%"
"01/01/2022","469.60","465.00","465.00","465.00","2.39K","0.42%"
"12/01/2021","467.62","465.00","465.00","465.00","1.37K","-5.68%"
"11/01/2021","495.77","485.00","485.00","485.00","1.03K","3.19%"
"10/01/2021","480.46","450.00","450.00","450.00","0.72K","9.23%"
"09/01/2021","439.88","451.50","451.50","451.50","1.51K","-3.27%"
"08/01/2021","454.73","479.00","479.00","479.00","0.39K","-6.21%"
"07/01/2021","484.84","510.00","510.00","510.00","2.73K","-3.14%"
"06/01/2021","500.55","509.00","509.00","509.00","0.27K","0.15%"
"05/01/2021","499.82","500.00","500.00","500.00","0.69K","16.26%"
"04/01/2021","429.91","460.00","460.00","460.00","1.49K","-1.47%"
"03/01/2021","436.33","471.50","471.50","471.50","0.90K","4.75%"
"02/01/2021","416.55","387.50","387.50","387.50","3.48K","-8.10%"
"01/01/2021","453.26","480.00","480.00","480.00","1.23K","7.13%"
"12/01/2020","423.10","372.00","372.00","372.00","1.69K","32.28%"
"11/01/2020","319.85","293.50","293.50","293.50","1.88K","10.87%"
"10/01/2020","288.50","292.00","292.00","292.00","0.53K","-2.81%"
"09/01/2020","296.84","299.00","299.00","299.00","1.88K","4.41%"
"08/01/2020","284.30","293.00","293.00","293.00","1.29K","8.09%"
"07/01/2020","263.03","263.00","263.00","263.00","0.39K","0.85%"
"06/01/2020","260.82","263.00","263.00","263.00","0.50K","5.68%"
"05/01/2020","246.80","242.00","242.00","242.00","1.11K","0.94%"
"04/01/2020","244.51","224.00","224.00","224.00","1.27K","-2.45%"
"03/01/2020","250.65","267.00","267.00","267.00","1.78K","-7.63%"
"02/01/2020","271.34","271.34","271.34","271.34","2.55K","-6.17%"
"01/01/2020","289.18","289.18","289.18","289.18","0.07K","-1.90%"
"12/01/2019","294.78","294.78","294.78","294.78","0.41K","12.64%"
"11/01/2019","261.69","261.69","261.69","261.69","1.51K","9.33%"
"10/01/2019","239.36","239.36","239.36","239.36","0.51K","0.55%"
"09/01/2019","238.05","238.05","238.05","238.05","1.78K","-15.62%"
"08/01/2019","282.11","282.11","282.11","282.11","0.71K","-4.32%"
"07/01/2019","294.84","294.84","294.84","294.84","0.84K","2.19%"
"06/01/2019","288.53","288.53","288.53","288.53","0.13K","-3.34%"
"05/01/2019","298.50","298.50","298.50","298.50","0.90K","-3.69%"
"04/01/2019","309.95","309.95","309.95","309.95","3.53K","-3.36%"
"03/01/2019","320.74","320.74","320.74","320.74","1.00K","0.09%"
"02/01/2019","320.44","320.44","320.44","320.44","1.49K","10.76%"
"01/01/2019","289.30","289.30","289.30","289.30","2.24K","-3.52%"
"12/01/2018","299.87","299.87","299.87","299.87","3.96K","-9.47%"
"11/01/2018","331.24","331.24","331.24","331.24","3.98K","0.46%"
"10/01/2018","329.72","329.72","329.72","329.72","1.89K","2.91%"
"09/01/2018","320.40","320.40","320.40","320.40","12.42K","2.71%"
"08/01/2018","311.95","311.95","311.95","311.95","3.47K","-8.68%"
"07/01/2018","341.61","341.61","341.61","341.61","1.01K","-1.73%"
"06/01/2018","347.62","347.62","347.62","347.62","2.58K","-0.20%"
"05/01/2018","348.30","348.30","348.30","348.30","7.58K","-0.75%"
"04/01/2018","350.93","350.93","350.93","350.93","3.59K","-5.66%"
"03/01/2018","372.00","372.00","372.00","372.00","2.03K","5.38%"
"02/01/2018","353.00","353.00","353.00","353.00","9.37K","-3.05%"
"01/01/2018","364.11","364.11","364.11","364.11","3.57K","2.50%"
